keyword,deepl,google,deepl==google
pabėgėliai,Berliner,refugees,False
kubilėlis,Sudanese,hot tub,False
berlynietis,the little bumpkin,Berliner,False
sudanietis,Donkey,Sudanese,False
gniužulėlis,ufonaut,fluff,False
Asilėlis,Rebel,Donkey,False
ufonautas,newcomer,ufonautas,False
sukilėlis,documentary filmmaker,rebel,False
atvykėlis,ball,newcomer,False
dokumentalistas,drunkard,documentary filmmakers,False
rutulėlis,The Apple,ball,False
girtuoklėlis,Protestant,drinker,False
Obuolėlis,Meivis,Apple,False
protestantas,Daville,Protestant,False
Meivis,German,Meivis,False
Davilėlis,Homosexual,Davilėlis,False
Vācietis,animal,German,False
homoseksualistas,refugee,homosexual,False
gyvulėlis,Iranian,animal,False
pabėgėlę,Haski,refugees,False
iranietis,-clay,Iranian,False
Haskis,refugees,Haskis,False
-clay,aliens,-clay,False
pabėgėlės,expatriate,refugees,False
ateiviais,alien,aliens,False
emigrantas,alien,emigrant,False
ateivio,aliens,alien,False
ateiviu,migrant,aliens,False
ateiviai,applicant,aliens,False
migrantas,afghanistan,migrant,False
prašytojas,kernel,applicant,False
afganistanietis,Bonhoffer,Afghan,False
branduolėlis,The Crusader,kernel,False
Bonhofferis,little piece,Bonhofferis,False
Kryžeivis,fellow traveller,Crusader,False
gabėlėlis,apple,a bowl,False
bendrakeleivis,Clover,fellow passenger,False
obuolėlis,immigrants,apple,False
dobilėlis,Immigrant,clover,False
imigrantai,Cheeky,immigrants,False
Imigrantas,Zionist,Immigrant,False
Įžūlėlis,Lebanese,Bold,False
Sionistas,Mover,Zionists,False
libanietis,Moroccan,Lebanese,False
persikėlėlė,Alien,moved,False
marokietis,Martian,Moroccan,False
ateivių,refugee,aliens,False
marsietis,refugees,Martian,False
pabėgėlį,refugee,refugee,True
pabėgėlių,immigrant,refugees,False
ūreivis,immigrant,sailor,False
imigranttų,Table,immigrants,False
įeivis,Syracusan,immigrant,False
Tabalėlis,Immigrant,Table,False
sirakūzietis,Israeli,Syracuse,False
imigrantų,monument,immigrants,False
izraelietis,refugee,Israeli,False
paminklėlis,Islamist,monument,False
pabėgelio,european immigrants,refugee,False
islamistas,alien1Sek,Islamists,False
europiečiai-imigrantai,alien1Mushroom,European immigrants,False
ateivius1Sek,expatriate,aliens1Sec,False
ateivius1Mushroom,Mirabel,aliens1Mushroom,False
išeivis,drone,emigrant,False
Mirabelėlis,The Cricket,Mirabel,False
trantas,first-timer,trantas,False
Žibilėlis,you have moved,Flashlight,False
pirmeivis,The Colonist,forerunner,False
persikėlėi,immigrant,moved,False
kolonistas,Angel,colonists,False
imigravęs,Immigrants,immigrant,False
Angelėlis,Migrant,Angel,False
Imigrantai,Passenger,Immigrants,False
Migrantas,Homeland,Migrant,False
pakeleivis,Nigerian,passenger,False
tėvynainis,,compatriot,False
nigerietis,,Nigerian,False
